A  AX
MISINTERPRET  M IH S EN T ER P R AX T
MISLEADING  M IH S L IY D IX NG
MISPERCEIVES  M IH S P ER S IY V Z
MISPLACED  M IH S P L EY S T
MISPRINT  M IH S P R IH N T
MISQUOTE  M IH S K W OW T
MISS  M IH S
MISTAKEN  M IH S T EY K IX N
MIXED  M IH K S T
MIXING  M IH K S IX NG
MOBILE  M OW B EL
MOCK  M AA K
MODED  M OW D IX D
MODELED  M AA D EL D
MODELING  M AA D EL IX NG
MODELS  M AA D EL Z
MODERN  M AA D AXR N
MODERNIZATION  M AA D AXR N IX Z EY SH IX N
MODERNIZING  M AA D AXR N AY Z IX NG
MODEST  M AA D IX S T
MODESTY  M AA D IX S T IY
MODIFIED  M AA D IX F AY D
MODULAR  M AA JH UH L AXR
MOIST  M OY S T
MOISTENED  M OY S EN D
MOISTURE  M OY S CH AXR
MOLD  M OW L D
MOLDED  M OW L D IX D
MOLLUSKS  M AA L AH S K S
MOM  M AA M
MOMENT  M OW M AX N T
MOMENTARY  M OW M AX N T EH R IY
MOMENTS  M OW M AX N T S
MOMMA  M AA M AX
MONDAY  M AH N D EY
MONEY  M AH N IY
MONITORED  M AA N IX T AXR D
MONKEY  M AH NG K IY
MONKEY-GLAND  M AH NG K IY G L AE N D
MONOPOLIZE  M AX N AA P AX L AY Z
MONSTROUS  M AA N S T R AX S
MONTH  M AH N TH
MONTHS  M AH N TH S
MOON  M UW N
MOONLIGHT  M UW N L AY T
MOPPED  M AA P T
MORAL  M AO R EL
MORALE  M AXR AE L
MORE  M AO R
MOREOVER  M AO R OW V AXR
MORGUE  M AO R G
MORNING  M AO R N IX NG
MORPHOLOGICAL  M AO R F AX L AA JH IH K EL
MORPHOPHONEMIC  M AO R F OW F OW N IY M IH K
MORROW  M AA R OW
MOSQUITOES  M AX S K IY T OW Z
MOSS  M AO S
MOST  M OW S T
MOSTLY  M OW S T L IY
MOTEL  M OW T EH L
MOTH  M AO TH
MOTHER  M AH DH AXR
MOTHER'S  M AH DH AXR Z
MOTHERS  M AH DH AXR Z
MOTHERS-IN-LAW  M AH DH AXR Z IH N L AO
MOTIONING  M OW SH IX N IX NG
MOTIVATES  M OW T IX V EY T S
MOTOR  M OW T AXR
MOTORISTS  M OW T AXR IX S T S
MOTORISTS'  M OW T AXR IX S T S
MOUNT  M AW N T
MOUNTAIN  M AW N T EN
MOUNTAINSIDE  M AW N T EN S AY D
MOUNTING  M AW N T IX NG
MOURNFULLY  M AO R N F UH L IY
MOUSE  M AW S
MOUTH  M AW TH
MOUTHFUL  M AW TH F UH L
MOVE  M UW V
MOVED  M UW V D
MOVEMENT  M UW V M AX N T
MOVES  M UW V Z
MOVIE  M UW V IY
MOVIES  M UW V IY Z
MOVING  M UW V IX NG
MR.  M IH S T AXR
MRS.  M IH S IX Z
MUCH  M AH CH
MUCUS  M Y UW K IX S
MUDDLEHEADED  M AH D EL HH EH D IX D
MUDDY  M AH D IY
MUDWAGON  M AH D W AE G AX N
MUFFLED  M AH F EL D
MUGS  M AH G Z
MULTIPLE  M AH L T AX P EL
MURALS  M Y UH R EL Z
MURDER  M ER D AXR
MURDERER  M ER D ER AXR
MURKY  M ER K IY
MURMURED  M ER M AXR D
MUSCLE  M AH S EL
MUSCLES  M AH S EL Z
MUSCULAR  M AH S K Y UH L AXR
MUSEUM  M Y UW Z IY AX M
MUSEUMS  M Y UW Z IY AX M Z
MUSIC  M Y UW Z IH K
MUSICAL  M UW Z IH K EL
MUSICIANS  M Y UW Z IH SH IX N Z
MUSKRAT  M AH S K R AE T
MUST  M AH S T
MUSTACHE  M AH S T AE SH
MUSTARD  M AH S T AXR D
MUTINEER  M Y UW T EN IH R
MY  M AY
MYOPIA  M AY OW P IY AX
MYSELF  M AY S EH L F
MYSTERIOUS  M IH S T IH R IY AX S
MYSTERY  M IH S T AXR IY
NAGGING  N AE G IX NG
NAILED  N EY L D
NAILS  N EY L Z
NAIVE  N AA IY V
NAKED  N EY K IX D
NAME  N EY M
NAMED  N EY M D
NAMES  N EY M Z
NAN'S  N AE N Z
NANCY'S  N AE N AO IY Z
NARROW  N AE R OW
NARROWER  N AE R OW AXR
NASTY  N AE S T IY
NATHAN  N EY TH IX N
NATIONAL  N AE SH IX N EL
NATURAL  N AE CH AXR EL
NATURALLY  N AE CH AXR AX L IY
NATURE  N EY CH AXR
NAVIGATE  N AE V AX G EY T
NEAR  N IH R
NEAR-AT-HAND  N IH R AE T HH AE N D
NEARBY  N IH R B AY
NEARER  N IH R AXR
NEAREST  N IH R IX S T
NEARING  N IH R IX NG
NEARLY  N IH R L IY
NEAT  N IY T
NECESSARILY  N EH S IX S EH R AX L IY
NECESSARY  N EH S IX S EH R IY
NECESSITATES  N IH S EH S AX T EY T S
NECESSITY  N IH S EH S IX T IY
NECK  N EH K
NECKLACE  N EH K L AX S
NECTAR  N EH K T AXR
NEED  N IY D
NEEDED  N IY D IX D
NEEDLE  N IY D EL
NEEDLE-SHARP  N IY D EL SH AA R P
NEEDLEPOINT  N IY D EL P OY N T
NEEDLESS  N IY D L AX S
NEEDS  N IY D Z
NEGLECT  N AX G L EH K T
NEGLIGENT  N EH G L IH JH IX N T
NEGLIGIBLE  N EH G L IH JH IX B EL
NEGOTIATIONS  N IX G OW SH IY EY SH IX N Z
NEITHER  N IY DH AXR
NEOCLASSIC  N IY OW K L AE S IH K
NERVES  N ER V Z
NESTED  N EH S T IX D
NEVADA  N AX V AE D AX
NEVADA'S  N AX V AE D AX Z
NEVER  N EH V AXR
NEVERTHELESS  N EH V AXR DH AX L EH S
NEW  N UW
NEWS  N UW Z
NEWSPAPER  N UW Z P EY P AXR
NEXT  N EH K S T
NICE  N AY S
NICELY  N AY S L IY
NIGHT  N AY T
NIGHTLY  N AY T L IY
NIGHTMARES  N AY T M AE R Z
NIGHTS  N AY T S
NIHILISTIC  N AY IX L IH S T IX K
NINE  N AY N
NIP  N IH P
NO  N OW
NOBODY  N OW B AH D IY
NOBODY'S  N OW B AH D IY Z
NODDED  N AA D IX D
NOISE  N OY Z
NOISY  N OY Z IY
NON-  N AA N
NON-CONTRIBUTORY  N AA N K AX N T R IH B Y UW T AO R IY
NON-NONSENSE  N AA N AA N S EH N S
NON-SUPERVISORY  N AA N S UW P AXR V AY Z AXR IY
NONE  N AH N
NONPROFIT  N AA N P R AA F AX T
NONSENSE  N AA N S EH N S
NONSYSTEMATIC  N AA N S IH S T AX M AE T IX K
NOR  N AO R
NORA  N AO R AX
NORA'S  N AO R AX Z
NORMAL  N AO R M EL
NORMALLY  N AO R M EL IY
NORMS  N AO R M Z
NORTH  N AO R TH
NORTHEAST  N AO R TH IY S T
NORTHERN  N AO R DH ER N
NORTHERNERS  N AO R DH ER N AXR Z
NORWEGIAN  N AO R W IY JH IX N
NOSE  N OW Z
NOT  N AA T
NOTE  N OW T
NOTED  N OW T IX D
NOTES  N OW T S
NOTEWORTHY  N OW T W ER DH IY
NOTHIN  N AH TH IX N
NOTHING  N AH TH IH NG
NOTICE  N OW T IX S
NOTICES  N OW T IX S IX Z
NOTORIETY  N OW T AXR AY AX T IY
NOVEL  N AA V EL
NOVELISTS  N AA V EL IX S T S
NOVELTY  N AA V EL T IY
NOW  N AW
NOWADAYS  N AW AX D EY Z
NOWHERE  N OW HH W AE R
NUCLEAR  N UW K L IY AXR
NUCLEUS  N UW K L IY AX S
NUMB  N AH M
NUMBER  N AH M B AXR
NUMBERING  N AH M B AXR IX NG
NUMBNESS  N AH M N IX S
NUMEROUS  N UW M AXR AX S
NURSES'  N ER S IX Z
NUT  N AH T
NUTRIENTS  N UW T R IY AX N T S
NUTRITION  N UW T R IH SH IX N
NUTS  N AH T S
NYMPHOMANIACS  N IH M F AX M EY N IY AE K S
O'  OW
O'CLOCK  AX K L AA K
OAK  OW K
OASIS  OW EY S IX S
OATMEAL  OW T M IY L
OATS  OW T S
OBEY  OW B EY
OBEYING  OW B EY IX NG
OBJECTIVE  AX B JH EH K T IH V
OBJECTIVES  AX B JH EH K T IH V Z
OBJECT~N  AA B JH EH K T
OBJECT~V  AX B JH EH K T
OBJECTS  AA B JH EH K T S 
OBSERVANCE  AX B Z ER V IX N S
OBSERVE  AX B Z ER V
OBSERVERS  AX B Z ER V AXR Z
OBSESSION  AA B S EH SH IX N
OBSESSIONS  AA B S EH SH IX N Z
OBSOLESCENT  AA B S AX L EH S EN T
OBSTACLES  AA B S T IH K EL Z
OBTAIN  AX B T EY N
OBTAINED  AX B T EY N D
OBTAINING  AX B T EY N IX NG
OBVERSE  AH B V ER S
OBVIOUS  AA B V IY AX S
OBVIOUSLY  AA B V IY AX S L IY
OCCASIONALLY  AX K EY ZH IX N AX L IY
OCCUPIED  AA K Y UW P AY D
OCCUR  AX K ER
OCCURRED  AX K ER D
OCCURS  AX K ER Z
OCEAN  OW SH IX N
OCEAN'S  OW SH IX N Z
OCEANOGRAPHIC  OW SH IX N AX G R AE F IH K
OCTILLION  AA K T IH L Y AX N
ODD  AA D
ODDS  AA D Z
ODDS-ON  AA D Z AO N
ODOR  OW D AXR
OF  AX V
OFF  AO F
OFF-DUTY  AO F D UW T IY
OFFENSIVE  AX F EH N S IH V
OFFER  AO F AXR
OFFERED  AO F AXR D
OFFERING  AO F AXR IX NG
OFFICE  AO F AX S
OFFICER  AO F AX S AXR
OFFICERS  AO F AX S AXR Z
OFFICES  AO F AX S IX Z
OFFICIAL  AX F IH SH EL
OFFICIALS  AX F IH SH EL Z
OFTEN  AO F AX N
OGRESS  OW G R EH S
OH  OW
OIL  OY L
OIL-FIELD  OY L F IY L D
OILS  OY L Z
OILY  OY L IY
OINTMENT  OY N T M AX N T
OKAY  OW K EY
OLD  OW L D
OLD-TIMERS  OW L D T AY M AXR Z
OLDER  OW L D AXR
OLDSTERS  OW L D S T AXR Z
OLE  OW L
OLIVE  AA L IH V
OMITTED  OW M IH T IX D
OMITTING  OW M IH T IX NG
ON  AO N
ONCE  W AH N S
ONE  W AH N
ONE'S  W AH N Z
ONE-HALF  W AH N HH AE F
ONE-O'CLOCK  W AH N AX K L AA K
ONE-UPMANSHIP  W AH N AH P M AX N SH IH P
ONES  W AH N Z
ONION  AH N Y AX N
ONLY  OW N L IY
ONTO  AO N T UW
OOZED  UW Z D
OPAQUE  OW P EY K
OPEN  OW P AX N
OPENED  OW P AX N D
OPENING  OW P AX N IX NG
OPENS  OW P AX N Z
OPERA  AA P AXR AX
OPERATED  AA P AXR EY T IX D
OPERATES  AA P AXR EY T S
OPERATION  AA P AXR EY SH IX N
OPINIONS  AX P IH N Y AX N Z
OPIUM  OW P IY AX M
OPPORTUNITY  AA P AXR T UW N IX T IY
OPPOSING  AX P OW Z IX NG
OPPOSITE  AA P AX Z IX T
OPPRESSIVE  AX P R EH S IH V
OPTICAL  AA P T IH K EL
OPTIMAL  AA P T AX M EL
OPTIMISM  AA P T AX M IH Z EM
OR  AO R
ORANGE  AO R IH N JH
ORATORICAL  AO R AX T AO R IH K EL
ORCHESTRA  AO R K IX S T R AX
ORDER  AO R D AXR
ORDERING  AO R D AXR IX NG
ORDERS  AO R D AXR Z
ORGANISM  AO R G IX N IH Z EM
ORGANIST  AO R G IX N IX S T
ORGANIZATIONS  AO R G IX N IX Z EY SH IX N Z
ORIENTAL  AO R IY EH N T EL
ORIENTED  AO R IY EH N T IX D
ORIGIN  AO R IX JH IX N
ORIGINAL  AO R IH JH IX N EL
ORIGINALLY  AO R IH JH IX N AX L IY
ORIGINALS  AO R IH JH IX N EL Z
ORTHODONTIC  AO R TH AX D AA N T IH K
ORTHODONTIST  AO R TH AX D AA N T IH S T
OTHER  AH DH AXR
OTHERS  AH DH AXR Z
OTHERWISE  AH DH AXR W AY Z
OTTO'S  AA T OW Z
OUGHT  AO T
OUR  AW R
OURSELVES  AW R S EH L V Z
OUT  AW T
OUT-MODED  AW T M OW D IX D
OUT-OF-DOORS  AW T AX V D AO R Z
OUTAGE  AW T IX JH
OUTCAST  AW T K AE S T
OUTCOME  AW T K AH M
OUTDOORS  AW T D AO R Z
OUTER  AW T AXR
OUTFIELDERS  AW T F IY L D AXR Z
OUTFIT  AW T F IH T
OUTGREW  AW T G R UW
OUTGROW  AW T G R OW
OUTLAWS  AW T L AO Z
OUTLOOK  AW T L UH K
OUTPOST  AW T P OW S T
OUTPUTS  AW T P UH T S
OUTSET  AW T S EH T
OUTSIDE  AW T S AY D 
OUTSTANDING  AW T S T AE N D IX NG 
OUTWARD  AW T W AXR D
OVAL  OW V EL
OVER  OW V AXR
OVERALLS  OW V AXR AO L Z
OVERBOARD  OW V AXR B AO R D
OVERCAME  OW V ER K EY M
OVERCHARGED  OW V AXR CH AA R JH D
OVERDUE  OW V AXR D UW
OVEREATING  OW V AXR IY T IX NG
OVERFLOWED  OW V AXR F L OW D
OVERHANGS  OW V AXR HH AE NG Z
OVERHEAD  OW V AXR HH EH D
OVERLAP  OW V AXR L AE P
OVERLAPPING  OW V AXR L AE P IX NG
OVERLOADED  OW V AXR L OW D IX D
OVERLOOKED  OW V AXR L UH K T
OVERLY  OW V AXR L IY
OVERNIGHT  OW V AXR N AY T
OVERNIGHTERS  OW V AXR N AY T AXR Z
OVERPLAYED  OW V AXR P L EY D
OVERPROTECTION  OW V AXR P R AX T EH K SH IX N
OVERRIDING  OW V AXR R AY D IX NG
OVERSIZED  OW V AXR S AY Z D
OVERTAKE  OW V AXR T EY K
OVERTHROW  OW V AXR TH R OW
OVERWEIGHT  OW V ER W EY T
OVERWHELM  OW V AXR W EH L M
OVERWHELMED  OW V AXR W EH L M D
OVERWRITTEN  OW V AXR R IH T EN
OWN  OW N
OWNER  OW N AXR
OWNS  OW N Z
OYSTER  OY S T AXR
OYSTERS  OY S T AXR Z
PA  P AA
PACE  P EY S
PACK  P AE K
PACKAGE  P AE K IH JH
PACKING  P AE K IX NG
PADLOCK  P AE D L AA K
PAID  P EY D
PAIL  P EY L
PAIN  P EY N
PAINTINGS  P EY N T IX NG Z
PAIR  P AE R
PAIRS  P AE R Z
PALE  P EY L
PALM  P AA M
PALPABLY  P AE L P AX B L IY
PAM  P AE M
PAMPHLETS  P AE M F L IX T S
PAN  P AE N
PANELIZATION  P AE N EL AY Z EY SH IX N
PANIC  P AE N IH K
PANSIES  P AE N Z IY Z
PAPAYA  P AX P AY AX
PAPER  P EY P AXR
PAPERED  P EY P AXR D
PAPERWEIGHT  P EY P AXR W EY T
PAPRIKA  P AE P R IY K AX
PARADES  P AXR EY D Z
PARAGRAPH  P AE R AX G R AE F
PARALLEL  P AE R AX L EH L
PARALYSIS  P AXR AE L IX S IX S
PARAMAGNETIC  P AE R AX M AE G N EH T IX K
PARANOID  P AE R AX N OY D
PARDON  P AA R D IX N
PARENTAL  P AXR EH N T EL
PARENTHOOD  P AE R AX N T HH UH D
PARK  P AA R K
PARKING  P AA R K IX NG
PARROTS  P AE R AX T S
PART  P AA R T
PART-TIME  P AA R T AY M
PARTED  P AA R T IX D
PARTICIPANT  P AA R T IH S AX P AX N T
PARTICIPANTS  P AA R T IH S AX P AX N T S
PARTICIPATE  P AA R T IH S AX P EY T
PARTICIPATES  P AA R T IH S AX P EY T S
PARTICULAR  P AXR T IH K Y UH L AXR
PARTICULARLY  P AXR T IH K Y UH L AXR L IY
PARTIES  P AA R T IY Z
PARTLY  P AA R T L IY
PARTNER  P AA R T N AXR
PARTS  P AA R T S
PASS  P AE S
PASSED  P AE S T
PASSING  P AE S IX NG
PASSIONS  P AE SH IX N Z
PASSIVE  P AE S IH V
PAST  P AE S T
PASTE  P EY S T
PASTIME  P AE S T AY M
PASTURE  P AE S CH AXR
PATH  P AE TH
PATHETIC  P AX TH EH T IH K
PATHOLOGICAL  P AE TH AX L AA JH IH K EL
PATIENT  P EY SH IX N T
PATIENT'S  P EY SH IX N T S
PATIENTLY  P EY SH IX N T L IY
PATRONS  P EY T R AX N Z
PATSY  P AE T S IY
PATTERED  P AE T AXR D
PATTERN  P AE T AXR N
PATTERNS  P AE T AXR N Z
PAUSE  P AO Z
PAUSED  P AO Z D
PAW  P AO
PAY  P EY
PAYMENTS  P EY M AX N T S
PAYS  P EY Z
PEACE  P IY S
PEACEFULLY  P IY S F UH L IY
PEACH  P IY CH
PEACHES  P IY CH IX Z
PEANUT  P IY N AH T
PEARLS  P ER L Z
PEAS  P IY Z
PECK  P EH K
PECULIAR  P AX K Y UW L Y AXR
PEDESTAL  P EH D IX S T EL
PEELING  P IY L IX NG
PEERED  P IH R D
PENALTY  P EH N EL T IY
PENDULUM  P EH N JH AX L AX M
PENETRATED  P EH N IX T R EY T IX D
PENGUINS  P EH NG G W AX N Z
PENICILLIN  P EH N IX S IH L IX N
PENSION  P EH N SH IX N
PEOPLE  P IY P EL
PEPPER  P EH P AXR
PEPPERED  P EH P AXR D
PER  P ER
PER-YEAR  P ER Y IH R
PERCEPTION  P AXR S EH P SH IX N
PERENNIAL  P AXR EH N IY EL
PERFECT  P ER F EH K T
PERFECTLY  P ER F EH K T L IY
PERFORMANCE  P AXR F AO R M AX N S
PERFORMANCES  P AXR F AO R M AX N S IX Z
PERFORMERS  P AXR F AO R M AXR Z
PERFUME  P ER F Y UW M
PERHAPS  P AXR HH AE P S
PERILS  P EH R EL Z
PERIOD  P IH R IY IX D
PERIODICAL  P IH R IY AA D IX K EL
PERIODICALLY  P IH R IY AA D IX K L IY
PERIODS  P IH R IY IX D Z
PERMANENT  P ER M AX N IX N T
PERMIT  P ER M IH T
PERPENDICULAR  P ER P IX N D IH K Y UH L AXR
PERSISTENTLY  P AXR S IH S T IX N T L IY
PERSISTING  P AXR S IH S T IX NG
PERSON  P ER S IX N
PERSONAL  P ER S IX N EL
PERSONALITY  P ER S IX N AE L IX T IY
PERSONALIZED  P ER S IX N AX L AY Z D
PERSONNEL  P ER S IX N EH L
PERSONS  P ER S IX N Z
PERSUADED  P AXR S W EY D IX D
PERSUASIVELY  P AXR S W EY S IH V L IY
PERT  P ER T
PERTINENT  P ER T EN IX N T
PERVASIVE  P ER V EY S IH V
PERVERSE  P ER V ER S
PESSIMISM  P EH S AX M IH Z EM
PESTS  P EH S T S
PETTICOATS  P EH T IH K OW T S
PETTING  P EH T IX NG
PETTY  P EH T IY
PEWTER  P Y UW T AXR
PHASE  F EY Z
PHENOMENON  F IH N AA M AX N AA N
PHIL'S  F IH L Z
PHONE  F OW N
PHONES  F OW N Z
PHONY  F OW N IY
PHOSPHATE  F AA S F EY T
PHOSPHATES  F AA S F EY T S
PHOTOCHEMICAL  F OW T AX K EH M IX K EL
PHOTOGRAPHS  F OW T OW G R AE F S
PHOTOS  F OW T OW Z
PHRASE  F R EY Z
PHYSICAL  F IH Z IH K EL
PIANO  P IY AE N OW
PICK  P IH K
PICKED  P IH K T
PICKET  P IH K IX T
PICKPOCKET  P IH K P AA K IX T
PICKPOCKETS  P IH K P AA K IX T S
PICTURE  P IH K CH AXR
PICTURES  P IH K CH AXR Z
PIE  P AY
PIECE  P IY S
PIECEMEAL  P IY S M IY L
PIECES  P IY S IX Z
PIG  P IH G
PIGEONS  P IH JH IX N Z
PILE  P AY L
PILED  P AY L D
PILGRIMS  P IH L G R AX M Z
PILL  P IH L
PILLS  P IH L Z
PILOTS  P AY L AX T S
PILOTS'  P AY L AX T S
PINE  P AY N
PINK  P IH NG K
PINS  P IH N Z
PINT  P AY N T
PINT-SIZED  P AY N T S AY Z D 
PINTO  P IH N T OW
PIONEER  P AY AX N IH R
PIPED  P AY P T
PISTACHIO  P AX S T AE SH IY OW
PIT  P IH T
PITCH  P IH CH
PITCHED  P IH CH T
PITCHER  P IH CH AXR
PITIABLE  P IH T IY AX B EL
PITY  P IH T IY
PIZZERIAS  P IY T S AXR IY AX Z
PLACE  P L EY S
PLACED  P L EY S T
PLACES  P L EY S IX Z
PLAINTIFF  P L EY N T IX F
PLAN  P L AE N
PLANE  P L EY N
PLANES  P L EY N Z
PLANETS  P L AE N IX T S
PLANNED  P L AE N D
PLANNING  P L AE N IX NG
PLANS  P L AE N Z
PLANT  P L AE N T
PLANTED  P L AE N T IX D
PLASTERS  P L AE S T AXR Z
PLATE  P L EY T
PLATED  P L EY T IX D
PLATFORM  P L AE T F AO R M
PLAY  P L EY
PLAYED  P L EY D
PLAYER  P L EY AXR
PLAYERS  P L EY AXR Z
PLAYIN'  P L EY EN
PLAYS  P L EY Z
PLEASANT  P L EH Z EN T
PLEASANTLY  P L EH Z EN T L IY
PLEASE  P L IY Z
PLEASURE  P L EH ZH AXR
PLEDGE  P L EH JH
PLENTY  P L EH N T IY
PLOW  P L AW
PLUMBER  P L AH M AXR
PLUNGED  P L AH N JH D
PLYMOUTH  P L IH M IX TH
PLYWOOD  P L AY W UH D
PNEUMONIA  N UH M OW N Y AX
POACH  P OW CH
POCKET  P AA K IX T
POCKETS  P AA K IX T S
POEMS  P OW AX M Z
POETRY  P OW AX T R IY
POETS  P OW AX T S
POIGNANCY  P OY N Y AX N T S IY
POINT  P OY N T
POINTING  P OY N T IX NG
POINTS  P OY N T S
POISED  P OY Z D
POISON  P OY Z EN
POISONED  P OY Z EN D
POISONOUS  P OY Z IX N IX S
POISONS  P OY Z EN Z
POLICEMAN  P AX L IY S M AE N
POLICY  P AA L IX S IY
POLISHED  P AA L IH SH T
POLITENESS  P AX L AY T N IX S
POLITICAL  P AX L IH T IH K EL
POLITICS  P AA L IX T IH K S
POLYESTERS  P AA L IY EH S T AXR Z
POMPOUSNESS  P AA M P AH S N IX S
POND  P AA N D
POOL  P UW L
POOL-SIDE  P UW L S AY D
POOLS  P UW L Z
POOR  P UH R
POORLY  P UH R L IY
POP  P AA P
POPULACE  P AA P Y UH L AX S
POPULAR  P AA P Y UH L AXR
POPULARITY  P AA P Y UH L AE R AX T IY
POPULATION  P AA P Y UH L EY SH IX N
PORCH  P AO R CH
PORCUPINES  P AO R K Y UW P AY N Z
PORK  P AO R K
PORTABLE  P AO R T AX B EL
PORTION  P AO R SH IX N
PORTRAY  P AO R T R EY
PORTRAYAL  P AO R T R EY EL
POSITION  P AX Z IH SH IX N
POSITIVE  P AA Z IX T IH V
POSSESSED  P AX Z EH S T
POSSIBILITIES  P AA S IX B IH L IX T IY Z
POSSIBILITY  P AA S IX B IH L IX T IY
POSSIBLE  P AA S IX B EL
POST  P OW S T
POST-ATTACK  P OW S T AX T AE K
POSTDATE  P OW S T D EY T
POSTPONED  P OW S T P OW N D
POTATOES  P AX T EY T OW Z
POTENT  P OW T EN T
POTTERY  P AA T AXR IY
POULTICES  P OW L T IX S IX Z
POULTRY  P OW L T R IY
POUND  P AW N D
POURING  P AO R IX NG
POVERTY  P AA V AXR T IY
POWDER  P AW D AXR
POWDERS  P AW D AXR Z
POWER  P AW AXR
POWERED  P AW AXR D
POWERFUL  P AW AXR F UH L
POWERFULLY  P AW AXR F UH L IY
POWERS  P AW AXR Z
PRACTICAL  P R AE K T IH K EL
PRACTICALLY  P R AE K T IH K AX L IY
PRACTICED  P R AE K T IH S T
PRACTICES  P R AE K T IH S IX Z
PRAISES  P R EY Z IX Z
PRAYED  P R EY D
PREACHED  P R IY CH T
PRECARIOUSLY  P R IH K AE R IY AX S L IY
PRECAUTION  P R IH K AO SH IX N
PRECEDED  P R IY S IY D IX D
PRECINCTS  P R IY S IH NG K T S
PRECISION  P R IH S IH ZH IX N
PREDICAMENT  P R IH D IH K AX M AX N T
PREDISPOSITIONS  P R IY D IH S P AX Z IH SH IX N Z
PREDOMINANTLY  P R IH D AA M IH N IX N T L IY
PREFERS  P R IH F ER Z
PREMIUMS  P R IY M IY AX M Z
PREOCCUPIED  P R IY AA K Y UW P AY D
PREPARATION  P R EH P AXR EY SH IX N
PREPARE  P R IH P AE R
PREPARED  P R IH P AE R D
PREPARING  P R IH P AE R IX NG
PREPREPARED  P R IY P R IH P AE R D
PREREQUISITE  P R IY R EH K W AX Z IX T
PRESCHOOLER  P R IY S K UW L AXR
PRESCRIBE  P R IH S K R AY B
PRESCRIPTION  P R IH S K R IH P SH IX N
PRESENTED  P R AX Z EH T IX D
PRESENTLY  P R EH Z EN T L IY
PRESENT~N~ADJ  P R EH Z EN T
PRESENT~V  P R IH Z EH N T
PRESENTS  P R IH Z EH N T S
PRESERVATION  P R EH Z AXR V EY SH IX N
PRESERVED  P R IH Z ER V D
PRESERVES  P R IH Z ER V Z
PRESIDENT  P R EH Z IX D IX N T
PRESSURE  P R EH SH AXR
PRESTIGE  P R EH S T IY ZH
PRESUMABLY  P R IH Z UW M AX B L IY
PRESUMED  P R IH Z UW M D
PRESUMES  P R IH Z UW M Z
PRETEND  P R IH T EH N D
PRETTY  P R IH T IY
PREVENT  P R AX V EH N T
PREVENTED  P R AX V EH N T IX D
PREVENTING  P R AX V EH N T IX NG
PREVIOUS  P R IY V IY AX S
PRICE  P R AY S
PRICES  P R AY S IX Z
PRIMACY  P R AY M AX S IY
PRIMARILY  P R AY M EH R AX L IY
PRIMARY  P R AY M EH R IY
PRIME  P R AY M
PRIMITIVE  P R IH M AX T IH V
PRIMLY  P R IH M L IY
PRINCES  P R IH N S IX Z
PRINCIPLES  P R IH N S IX P EL Z
PRINT  P R IH N T
PRINTS  P R IH N T S
PRIORITIES  P R AY AO R IX T IY Z
PRIORITY  P R AY AO R IX T IY
PRISON  P R IH Z EN
PRISONER  P R IH Z EN AXR
PRISONERS  P R IH Z EN AXR Z
PRIVATE  P R AY V AX T
PRIVATE-EYE  P R AY V AX T AY
PRIVATELY  P R AY V AX T L IY
PRIVATIONS  P R AY V EY SH IX N Z
PRIZES  P R AY Z IX Z
PROBABILITIES  P R AA B AX B IH L IX T IY Z
PROBABLY  P R AA B AX B L IY
PROBES  P R OW B Z
PROBLEM  P R AA B L AX M
PROBLEMS  P R AA B L AX M Z
PROCAINE  P R OW K EY N
PROCEDURE  P R AX S IY JH AXR
PROCEEDING  P R OW S IY D IX NG
PROCEEDS  P R OW S IY D Z
PROCESS  P R AA S EH S
PROCESSED  P R AA S EH S T
PROCESSES  P R AA S EH S IX Z
PROCESSING  P R AA S EH S IX NG
PRODUCE  P R OW D UW S
PRODUCED  P R OW D UW S T
PRODUCT  P R AA D AH K T
PRODUCTION  P R AX D AH K SH IX N
PRODUCTS  P R AA D AH K T S
PROFESSION  P R AX F EH SH IX N
PROFESSIONAL  P R AX F EH SH IX N EL
PROFIT  P R AA F IX T
PROFITS  P R AA F IX T S
PROGRAM  P R OW G R AE M
PROGRAMS  P R OW G R AE M Z
PROGRESS  P R AA G R EH S
PROGRESSION  P R AX G R EH SH IX N
PROJECTED  P R AA JH EH K T IX D
PROJECT~N  P R AA JH EH K T
PROJECT~V  P R AX JH EH K T
PROJECTS  P R AA JH EH K T S
PROMINENT  P R AA M AX N IX N T
PROMOTE  P R AX M OW T
PROMPTED  P R AA M P T IX D
PROMPTLY  P R AA M P T L IY
PRONOUN  P R OW N AW N
PRONUNCIATION  P R AX N AH N S IY EY SH IX N
PROOF  P R UW F
PROPER  P R AA P AXR
PROPERLY  P R AA P AXR L IY
PROPERTIES  P R AA P AXR T IY Z
PROPERTY  P R AA P AXR T IY
PROPHETS  P R AA F AX T S
PROPOSED  P R AX P OW Z D
PROPRIETY  P R AX P R AY AX T IY
PROPS  P R AA P S
PROSE  P R OW Z
PROSPECT  P R AA S P EH K T
PROSPECTIVE  P R AX S P EH K T IH V
PROTECTED  P R AX T EH K T IX D
PROTECTION  P R AX T EH K SH IX N
PROTECTS  P R AX T EH K T S
PROTEIN  P R OW T IY N
PROTESTS  P R OW T EH S T S
PROUD  P R AW D
PROVE  P R UW V
PROVED  P R UW V D
PROVEN  P R UW V AX N
PROVIDE  P R AX V AY D
PROVIDED  P R AX V AY D IX D
PROVIDES  P R AX V AY D Z
PROVISIONS  P R AX V IH ZH IX N Z
